-0.0499,32.5333,0.9159,71.3601,-3.9814,11.4264
-0.7468,32.3617,0.7709,72.6672,-3.8560,12.3227
-1.1351,32.4647,0.3687,73.4207,-3.9824,12.2617
-1.2861,32.2898,-0.0554,73.2954,-4.0181,11.4452
-0.5960,32.4378,0.2335,73.6964,-3.8789,11.5090
-1.0360,32.5248,1.2768,74.3922,-3.4515,11.6762
-0.2100,32.2520,0.3854,73.2613,-2.8160,10.7783
-0.8967,32.5824,-0.3187,73.4328,-3.6556,10.9333
-0.5006,32.4074,0.3917,71.7186,-3.5281,10.6242
-0.2696,32.5993,0.4004,69.6069,-3.5906,9.6501
-0.0029,32.3856,-0.4304,65.5216,-3.2022,8.0856
0.3413,33.0441,0.0837,61.6839,-3.5334,7.1273
0.1592,33.0492,-0.2113,58.2422,-3.3916,5.9358
0.0341,32.7416,-0.3704,47.6347,-2.3059,4.6696
0.2253,32.6015,-0.7565,45.7852,-1.8547,4.5154
-0.1031,32.7984,-0.8729,44.5929,-1.8537,4.9596
-0.2436,32.8236,-1.1097,42.1077,-2.0532,5.1420
-0.1246,32.6353,-0.9497,40.2654,-1.6587,5.4821
-0.5469,32.7402,-1.2324,38.8243,-1.8573,5.6917
-0.4526,32.3126,-1.1389,36.6146,-0.9664,5.7819
-0.6834,32.6665,-1.4183,34.3827,-1.4005,5.9515
-1.0677,32.4163,-1.0013,32.2218,-0.9520,5.5001
-1.3229,32.5996,-1.1676,29.5352,-1.2322,6.1319
-1.7625,32.4667,-1.5498,25.2693,-0.8924,5.6791
-2.0252,32.5174,-1.7200,22.1086,-0.4723,5.4328
-2.3737,32.4065,-2.1499,19.1943,-0.2042,4.9168
-4.7080,32.0183,-0.4367,3.4389,0.5740,5.6916
-5.3500,32.0389,-0.4488,1.9963,1.6040,7.9351
-4.9270,31.9162,-0.7628,0.7080,1.2318,7.7432
