-3.4584,38.7790,0.6188,54.7107,2.0106,11.7454
-4.7783,38.6159,1.3270,53.6538,0.4568,9.8857
-8.1070,37.9911,2.1561,57.6617,-0.4255,9.2085
-8.2360,38.2588,2.2732,49.5061,-0.4427,9.7962
-5.2541,38.0322,1.3043,28.9465,-0.4750,6.9982
-4.3703,37.2833,1.0031,11.9741,-0.5857,4.8146
-5.6117,37.1753,1.1171,3.1585,-0.5678,5.3932
-6.2925,37.2212,1.3053,1.9487,-0.5218,6.3758
-6.7370,37.1303,1.4226,2.4058,-0.4131,7.4543
-6.7999,37.3507,1.6200,1.8476,-0.5905,7.8260
-6.9611,37.6296,1.7964,1.1221,-0.5827,9.8627
-1.8335,37.7022,0.2194,20.8438,0.6558,4.9073
