-0.4121,1.5387,0.0220,99.5305,-0.3138,-11.8724
-0.4649,1.5057,0.0106,99.5355,-0.9949,-11.5337
-0.6454,1.4920,-0.0187,102.5658,-1.2278,-11.3242
-0.5522,1.4599,0.0754,102.2257,0.1108,-6.9605
-0.6882,1.4270,0.0597,102.2257,0.1108,-6.9605
-0.5720,1.5001,0.0744,99.9775,0.2507,-6.8969
-0.5982,1.4089,0.0690,99.9775,0.2507,-6.8969
-0.5923,1.4047,0.0365,110.1563,-4.4055,2.8782
-0.4840,1.3449,0.7678,114.1710,-1.7608,10.6958
-0.6070,1.4250,0.0184,109.3781,0.7670,13.0951
-0.6235,1.3508,0.0381,111.5193,-1.4667,9.1846
-0.6430,1.3168,0.0795,114.3736,-1.6344,8.1319
-0.6077,1.3027,0.0465,114.7747,0.2669,9.2639
